"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.2903859721788e-241,2.42965013282095,0.35,0.096,2.65083990264691e-237,"0","AT3G21560"
"2",0,2.40835209063329,0.938,0.553,0,"0","AT4G34230"
"3",0,2.34587139161184,0.666,0.21,0,"0","AT2G02010"
"4",0,2.31548271712126,0.609,0.24,0,"0","AT1G21980"
"5",0,2.29766836619879,0.742,0.35,0,"0","AT5G48150"
"6",0,2.09390565501527,0.882,0.448,0,"1","AT2G45180"
"7",2.61714709103753e-74,1.90389259660105,0.293,0.143,5.3764052691184e-70,"1","AT4G00165"
"8",2.80329112114509e-67,1.9004677345336,0.333,0.192,5.75880095016836e-63,"1","AT2G03550"
"9",4.34180284597723e-140,1.84971313092221,0.48,0.239,8.91936558649101e-136,"1","AT4G23400"
"10",5.66447328971648e-264,1.76045982962316,0.697,0.361,1.16365274790646e-259,"1","AT3G62550"
"11",7.18535129834841e-296,2.57955464861842,0.265,0.042,1.47608671721971e-291,"2","AT3G18180"
"12",1.07324647751051e-305,2.12339917626637,0.328,0.063,2.20477023874984e-301,"2","AT1G10770"
"13",0,2.10258154565728,0.659,0.205,0,"2","AT5G46295"
"14",6.36971536589082e-307,1.99948135399154,0.723,0.307,1.30853062761495e-302,"2","AT1G56060"
"15",1.61911458666786e-222,1.96715586850494,0.347,0.093,3.32614709539179e-218,"2","AT5G61390"
"16",3.28838976721363e-85,2.8066422238691,0.444,0.323,6.75533909878695e-81,"3","AT3G10720"
"17",9.03841968647005e-22,2.50023267774999,0.323,0.292,1.85676255619154e-17,"3","AT1G51805"
"18",2.38497044020233e-49,2.39205018227168,0.379,0.292,4.89944477530765e-45,"3","AT5G46330"
"19",4.75760274549045e-119,2.3488100395445,0.564,0.449,9.77354332006104e-115,"3","AT3G22060"
"20",3.84156746141307e-48,2.32047216357086,0.264,0.153,7.89173203598088e-44,"3","AT4G30280"
"21",0,4.92794358595939,0.503,0.022,0,"4","AT5G20630"
"22",0,4.37824528248504,0.298,0.014,0,"4","AT5G02760"
"23",0,3.99720077284088,0.352,0.017,0,"4","AT1G31690"
"24",0,3.75778673259852,0.904,0.131,0,"4","AT2G10940"
"25",0,3.42766046863396,0.47,0.029,0,"4","AT5G21960"
"26",0,2.21589959136438,0.376,0.07,0,"5","AT2G23690"
"27",0,2.0541872207591,0.986,0.405,0,"5","AT1G53170"
"28",0,2.04740560463207,0.34,0.05,0,"5","AT1G53520"
"29",0,1.99718555824347,1,0.86,0,"5","AT2G34430"
"30",0,1.88462365566957,0.938,0.337,0,"5","AT4G26530"
"31",1.85004672641227e-195,4.22974824918017,0.274,0.065,3.80055099006872e-191,"6","AT2G30770"
"32",1.16939118034087e-269,3.78415036942029,0.402,0.107,2.40228030177426e-265,"6","AT2G45220"
"33",3.3720545924087e-145,3.50868478150691,0.261,0.076,6.92721174918519e-141,"6","AT1G21240"
"34",4.13187162570072e-253,3.48132692947982,0.465,0.158,8.48810388067699e-249,"6","AT3G26830"
"35",0,3.18942190757556,0.651,0.237,0,"6","AT2G14610"
"36",0,6.91961980393312,0.286,0.012,0,"7","AT3G19710"
"37",0,6.31803981460094,0.363,0.023,0,"7","AT1G78370"
"38",0,6.30329213784038,0.341,0.014,0,"7","AT5G23010"
"39",0,6.26572833785413,0.417,0.008,0,"7","AT1G12010"
"40",0,6.19414705054136,0.353,0.009,0,"7","AT1G60989"
"41",5.39930176285386e-127,2.52948593039626,0.374,0.146,1.10917856114307e-122,"8","AT1G19960"
"42",4.49603219947052e-151,2.48182518095196,0.341,0.107,9.23619894737229e-147,"8","AT5G24780"
"43",3.53447895117696e-262,2.37230175210761,0.602,0.227,7.26088010940282e-258,"8","AT1G19670"
"44",2.04847515717401e-249,2.30308852838582,0.768,0.448,4.20818251538256e-245,"8","AT3G61430"
"45",2.96884591579046e-91,2.29611144557866,0.449,0.249,6.09890016480835e-87,"8","AT3G28220"
"46",0,6.06706097969162,0.343,0.005,0,"9","AT4G05030"
"47",0,5.82699940025851,0.691,0.035,0,"9","AT4G21840"
"48",0,5.58396605053623,0.276,0.009,0,"9","AT3G57950"
"49",0,5.01034922202189,0.784,0.066,0,"9","AT1G01680"
"50",0,4.74724813624287,0.603,0.029,0,"9","AT3G13610"
"51",0,4.2154562646723,0.33,0.034,0,"10","AT5G22300"
"52",2.43976959725062e-227,4.01586736232813,0.313,0.052,5.01201868363195e-223,"10","AT1G65970"
"53",2.8363261881171e-248,3.72278426187419,0.486,0.12,5.82666488824896e-244,"10","AT2G23170"
"54",0,3.47910277424356,0.523,0.053,0,"10","AT5G39610"
"55",0,3.41120972096705,0.423,0.047,0,"10","AT2G35730"
"56",0,4.3551349453552,0.352,0.015,0,"11","AT1G75580"
"57",0,4.22521801539152,0.36,0.017,0,"11","AT4G34650"
"58",0,4.20753412716164,0.276,0.011,0,"11","AT3G61900"
"59",0,4.1607532491293,0.539,0.027,0,"11","AT2G35950"
"60",0,4.14856459098464,0.603,0.034,0,"11","AT4G10290"
"61",6.64857310800064e-220,3.11317471074933,0.417,0.077,1.36581637357657e-215,"12","AT1G51780"
"62",6.39320945718573e-321,2.83734957893994,0.417,0.055,1.31335701878966e-316,"12","AT1G66730"
"63",1.16857260596364e-279,2.64253227928963,0.949,0.45,2.40059870443112e-275,"12","AT1G43160"
"64",1.75808842417289e-138,2.56445125771091,0.309,0.065,3.61164104977838e-134,"12","AT1G42980"
"65",1.20175236859943e-220,2.31725993244449,0.663,0.198,2.4687598908138e-216,"12","AT5G14180"
"66",0,3.6783606462429,0.529,0.059,0,"13","AT3G50770"
"67",0,3.18691114760965,0.458,0.058,0,"13","AT1G23840"
"68",0,3.04791044063987,0.45,0.053,0,"13","AT1G13470"
"69",2.44513084354727e-210,3.025851857032,0.311,0.041,5.02303229189916e-206,"13","AT5G22520"
"70",1.08294580895908e-245,2.96607279332671,0.456,0.075,2.22469557534464e-241,"13","AT1G43910"
"71",1.17371813372886e-199,4.50339226730793,0.526,0.113,2.41116916211919e-195,"14","AT4G01700"
"72",5.34941402058888e-240,4.46296642210312,0.497,0.082,1.09893012224957e-235,"14","AT3G21520"
"73",3.26576779585317e-246,4.45989000885109,0.465,0.069,6.70886678302116e-242,"14","AT1G02360"
"74",4.41405748863524e-46,4.44748284690932,0.254,0.084,9.06779829890336e-42,"14","AT5G42020"
"75",1.47968478580939e-116,4.37514287653994,0.323,0.064,3.03971645548823e-112,"14","AT1G58225"
"76",0,9.49673112870001,0.323,0.001,0,"15","AT1G02705"
