"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT1G26380",4.76165847306241e-266,-9.52862176110732,0.045,0.759,9.78187500121212e-262
"AT3G49120",3.29123483106628e-264,-8.1691730022123,0.201,0.922,6.76118371345945e-260
"AT2G18690",3.70675517867755e-261,-7.41216937959635,0.201,0.918,7.61478716355729e-257
"AT2G35980",1.96978624537995e-255,-9.11516862085371,0.072,0.782,4.04653188388403e-251
"AT3G54420",3.62831089470289e-251,-7.56431316253231,0.265,0.934,7.45363907098814e-247
"AT4G15610",1.22995845973947e-238,-8.16641804068068,0.176,0.86,2.5267036638428e-234
"ATCG00020",1.0463186726335e-237,-3.55652479801426,0.999,1,2.149452449191e-233
"AT1G65690",5.32252911258175e-236,-8.59893667832364,0.075,0.748,1.09340715559767e-231
"AT1G67090",2.2339407549648e-235,2.7253630287903,1,0.985,4.58918449292419e-231
"AT3G47470",9.85268416670796e-233,2.34154118890706,1,0.979,2.02403690836682e-228
"AT3G54890",1.2338813412525e-227,2.03701598988484,1,0.968,2.53476243933501e-223
"AT4G20830",1.51795216908884e-227,-5.28378983752532,0.917,0.987,3.11832914095921e-223
"AT1G61520",1.78934470174025e-224,1.93672255421358,1,0.983,3.675850820785e-220
"AT3G61470",3.29806868638981e-221,1.61549571615818,1,0.989,6.77522250245059e-217
"AT1G79040",2.05692186783628e-220,1.61619200994691,1,1,4.22553459309607e-216
"AT1G29910",2.59621135391132e-220,3.04564144214052,1,0.844,5.33339698434002e-216
"AT1G31330",1.64475976846281e-219,1.80942193945744,1,0.949,3.37882999235315e-215
"AT3G49780",1.38141233274838e-218,-6.02102082595733,0.643,0.966,2.83783535516499e-214
"AT4G10340",6.60046369936768e-217,1.78920147535759,1,0.968,1.3559332577611e-212
"AT3G08940",7.37582310536669e-216,2.77296710473353,0.999,0.499,1.51521534053548e-211
"AT1G06680",2.94373080823849e-215,2.16382288858558,1,0.822,6.04730619936433e-211
"AT2G34420",3.15567359883622e-211,2.06955395818427,1,0.992,6.48270027408925e-207
"AT5G54270",7.87974919120004e-210,2.61727574125462,1,0.837,1.61873687634822e-205
"AT2G34430",1.03652041744574e-209,2.28978817664085,1,0.973,2.12932389355878e-205
"AT2G05070",1.13368611196721e-208,3.38879013500286,0.998,0.345,2.32893137981423e-204
"AT5G35735",1.5819010586657e-207,-2.73405662368303,0.992,0.994,3.24969934481696e-203
"AT1G29920",1.67510560594966e-207,2.83734974838527,1,0.945,3.44116944630238e-203
"AT2G21660",3.16304980944617e-207,2.06260953855075,1,0.918,6.49785322354526e-203
"AT1G15820",1.15913937812368e-205,2.05237134740774,0.999,0.736,2.38122002447948e-201
"AT5G66570",1.40540982228557e-205,1.60797906279874,1,0.951,2.88713339792124e-201
"AT4G05180",1.5738765358323e-204,2.0812144541365,1,0.712,3.2332145675603e-200
"AT2G39518",6.7637416999417e-204,-7.83736666587411,0.181,0.801,1.38947545741902e-199
"AT4G28750",1.64814323123987e-202,1.73085556095462,1,0.918,3.38578063993606e-198
"AT1G29930",4.93650051041104e-196,1.65884155925705,1,1,1.01410529985374e-191
"AT1G08380",1.11537875619342e-194,1.53927046859818,1,0.947,2.29132257884815e-190
"AT3G21055",4.094055179695e-194,1.89104965439378,1,0.634,8.41041755564743e-190
"AT2G42220",1.32346288764905e-193,3.11469242349674,0.971,0.049,2.71878981009745e-189
"AT4G27440",1.23741967526107e-192,2.96863955434783,0.996,0.203,2.54203123888881e-188
"AT3G27690",4.74543569294208e-192,4.12033619832175,0.956,0.066,9.74854854401091e-188
"AT5G38410",3.35882936544466e-191,2.31718955816753,1,0.816,6.90004316543296e-187
"AT4G34620",4.31500794374856e-191,2.00054505791813,1,0.526,8.86432081884268e-187
"AT4G02770",2.191880009155e-190,2.0826846645896,1,0.596,4.50277910280712e-186
"AT1G20340",8.2070802929752e-190,1.71974945009565,1,0.825,1.6859805045859e-185
"AT2G10940",1.12729121570405e-188,4.41648554763857,0.904,0.021,2.31579434442083e-184
"AT4G27657",1.76179640988847e-188,3.71605474542972,0.918,0.027,3.61925836483388e-184
"AT5G08330",2.71778917367918e-188,2.72615683410119,0.955,0.044,5.58315429948914e-184
"AT4G20860",6.68374719341748e-188,-6.14779611341915,0.518,0.907,1.37304218594375e-183
"AT2G20260",2.51027953154533e-187,1.65879924702518,0.999,0.685,5.15686724165357e-183
"AT3G02560",6.45960321079959e-187,2.97230901249173,0.933,0.036,1.32699628759456e-182
"AT4G14890",5.99025789380852e-186,2.4855896417166,0.925,0.032,1.23057867912508e-181
"AT1G20620",2.05773201957228e-185,3.10704296189186,0.982,0.328,4.22719888780733e-181
"AT3G14110",2.21119902305456e-185,2.55320576025134,0.943,0.042,4.54246615306098e-181
"AT5G49940",3.83681562448795e-184,2.30714007983505,0.949,0.044,7.8819703373856e-180
"AT1G30700",8.30215585885111e-184,-8.4496609761487,0.05,0.6,1.70551187808378e-179
"AT1G51400",1.04487003570383e-183,2.28574201858166,0.999,0.431,2.14647651434638e-179
"AT1G59870",3.73322674813221e-183,-4.54300358647181,0.925,0.937,7.669167708688e-179
"AT3G12345",4.99329547284841e-183,2.4709789972773,0.93,0.038,1.02577268898725e-178
"AT5G23900",1.62499171324994e-182,2.58300156896854,0.955,0.055,3.33822047652934e-178
"AT5G01530",1.76476060910237e-182,1.36832286264312,1,0.96,3.625347719279e-178
"AT4G25740",3.80557467126022e-182,2.34722789832394,0.944,0.044,7.81779204716986e-178
"AT3G50685",5.90670739782251e-182,2.38537934476574,0.975,0.068,1.21341490073468e-177
