,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,significant,p_val_adj_plot,gene,cluster
1,0,5.051106141,0.883,0.108,0,Yes,1.00E-300,AT1G14880,"6, 8, 9, 10, 13, 17"
2,0,5.296799983,0.836,0.076,0,Yes,1.00E-300,AT2G24850,"6, 8, 9, 10, 11, 12, 13, 17"
3,0,4.281537847,0.762,0.106,0,Yes,1.00E-300,AT2G39030,"6, 8, 10, 11, 12, 13"
4,0,3.673388648,0.743,0.16,0,Yes,1.00E-300,AT1G43160,"6, 8, 9, 10, 11, 12, 13"
5,0,3.97364926,0.816,0.25,0,Yes,1.00E-300,AT4G08870,"6, 7, 8, 11, 12, 13"
6,0,5.902146084,0.579,0.032,0,Yes,1.00E-300,AT5G03350,"6, 8, 11, 12, 13, 18"
7,0,4.561139412,0.647,0.148,0,Yes,1.00E-300,AT3G60415,"6, 8, 9, 10, 11, 12, 13, 17"
8,0,2.89838095,0.957,0.475,0,Yes,1.00E-300,AT5G42530,"6, 8, 10, 11, 12, 13"
9,0,2.987627787,0.753,0.291,0,Yes,1.00E-300,AT4G02520,"6, 9, 10, 13, 17"
10,0,2.39745976,0.914,0.466,0,Yes,1.00E-300,AT4G23600,"6, 8, 11, 12, 13"
11,0,6.05063289,0.452,0.01,0,Yes,1.00E-300,AT2G14560,"6, 8, 9, 11, 12, 13, 17"
12,0,2.835102852,0.646,0.206,0,Yes,1.00E-300,AT3G55970,"8, 9, 10, 11, 12, 13, 17"
13,0,4.047713506,0.471,0.037,0,Yes,1.00E-300,AT2G14610,"6, 9, 10, 13"
14,0,3.309575904,0.54,0.116,0,Yes,1.00E-300,AT2G34500,"6, 9, 10"
15,0,2.6465768,0.916,0.494,0,Yes,1.00E-300,AT1G31580,"6, 8, 9, 11, 12, 13"
16,0,3.923493037,0.445,0.035,0,Yes,1.00E-300,AT3G22235,"6, 8, 9, 10, 11, 12, 13, 17"
17,0,3.092771917,0.537,0.129,0,Yes,1.00E-300,AT1G13340,"6, 8, 9, 10, 12, 13, 17"
18,0,-1.834214693,0.302,0.691,0,Yes,1.00E-300,AT2G45180,"1, 3, 4, 5"
19,0,-1.875894554,0.206,0.591,0,Yes,1.00E-300,AT3G16240,"1, 3, 4, 5, 7, 14, 18"
20,0,1.946599098,0.753,0.369,0,Yes,1.00E-300,AT4G37990,"0, 6, 9, 10, 12"
21,0,3.671681774,0.431,0.048,0,Yes,1.00E-300,AT2G43570,"6, 9, 10, 13"
22,0,3.843465832,0.469,0.086,0,Yes,1.00E-300,AT3G03470,"6, 8, 9, 10, 11, 12, 13, 17"
23,0,-2.02909612,0.426,0.804,0,Yes,1.00E-300,AT1G72610,"1, 3, 4, 5, 14"
24,0,2.221500347,0.59,0.22,0,Yes,1.00E-300,AT1G15520,"6, 9, 10, 14"
25,0,3.911314574,0.525,0.155,0,Yes,1.00E-300,AT5G43150,"8, 9, 11, 12, 13, 16"
26,0,-1.437453218,0.443,0.805,0,Yes,1.00E-300,AT1G20450,"1, 3, 7, 16, 18"
27,0,-1.710583411,0.384,0.745,0,Yes,1.00E-300,AT3G26520,"1, 3, 4, 7, 14"
28,0,4.370243806,0.417,0.057,0,Yes,1.00E-300,AT3G56400,"8, 9, 11, 13, 16, 17"
29,0,-1.684403602,0.514,0.871,0,Yes,1.00E-300,AT2G33830,"1, 4, 5, 7, 16, 18"
30,0,1.913095264,0.575,0.218,0,Yes,1.00E-300,AT2G41090,"8, 9, 11, 12, 13"
31,0,3.256820103,0.431,0.075,0,Yes,1.00E-300,AT4G11890,"8, 9, 10, 12, 13, 17"
32,0,2.297683665,0.661,0.307,0,Yes,1.00E-300,AT4G27410,"6, 8, 9, 11, 12, 13, 15, 16"
33,0,4.196543772,0.413,0.069,0,Yes,1.00E-300,AT1G19670,"6, 8, 11, 12, 13"
34,0,3.072746644,0.438,0.094,0,Yes,1.00E-300,AT1G69930,"6, 9, 10, 17"
35,0,-1.086047741,0.418,0.756,0,Yes,1.00E-300,AT1G22810,"2, 3, 4, 5, 7"
36,0,3.987427813,0.4,0.065,0,Yes,1.00E-300,AT5G24530,"8, 9, 11, 12, 13, 17"
37,0,1.667551275,0.72,0.386,0,Yes,1.00E-300,AT2G29460,"0, 6, 8, 9, 10, 12, 13"
38,0,3.115811068,0.994,0.661,0,Yes,1.00E-300,AT2G25510,"6, 8, 9, 10, 11, 12, 13"
39,0,-1.888274785,0.49,0.821,0,Yes,1.00E-300,AT5G57560,"2, 3, 4, 14, 16, 17"
40,0,3.247672827,0.381,0.054,0,Yes,1.00E-300,AT5G13080,"6, 9, 10, 17, 18"
41,0,1.152657535,0.531,0.208,0,Yes,1.00E-300,AT4G30270,"3, 6, 8, 10, 12, 13, 14, 17"
42,0,2.226258019,0.446,0.124,0,Yes,1.00E-300,AT2G30550,"6, 9, 10, 13, 14"
43,0,2.466343376,0.45,0.131,0,Yes,1.00E-300,AT1G57630,"9, 10, 12, 13"
44,0,1.520221166,0.445,0.126,0,Yes,1.00E-300,AT3G22600,"6, 9, 10, 14"
