"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"AT1G14880",0,7.1212194568234,0.9,0.083,0,"AT1G14880","Yes"
"AT2G24850",0,6.08915217185792,0.856,0.08,0,"AT2G24850","Yes"
"AT2G39030",0,4.25900593278813,0.767,0.123,0,"AT2G39030","Yes"
"AT1G43160",0,4.07214140044667,0.766,0.201,0,"AT1G43160","Yes"
"AT2G34500",0,5.22460930810748,0.647,0.099,0,"AT2G34500","Yes"
"AT5G03350",0,6.12181471502308,0.574,0.043,0,"AT5G03350","Yes"
"AT3G16240",0,-1.52971975177254,0.299,0.82,0,"AT3G16240","Yes"
"AT4G02520",0,3.92665849302467,0.83,0.325,0,"AT4G02520","Yes"
"AT2G45180",0,-1.71985040767612,0.376,0.872,0,"AT2G45180","Yes"
"AT3G60415",0,4.7819322069206,0.719,0.226,0,"AT3G60415","Yes"
"AT1G15520",0,3.99427899228138,0.671,0.179,0,"AT1G15520","Yes"
"AT2G43570",0,6.16058191104093,0.528,0.037,0,"AT2G43570","Yes"
"AT2G14610",0,7.79396310350506,0.508,0.018,0,"AT2G14610","Yes"
"AT5G02160",0,-1.5795123136835,0.408,0.885,0,"AT5G02160","Yes"
"AT5G16030",0,-1.51960875391231,0.322,0.796,0,"AT5G16030","Yes"
"AT4G08870",0,3.13337732406444,0.825,0.353,0,"AT4G08870","Yes"
"AT1G13340",0,3.96427372366745,0.624,0.153,0,"AT1G13340","Yes"
"AT3G22600",0,4.91676999070351,0.546,0.076,0,"AT3G22600","Yes"
"AT4G04330",0,-1.39467537366885,0.394,0.863,0,"AT4G04330","Yes"
"AT3G26520",0,-1.43660911514273,0.42,0.878,0,"AT3G26520","Yes"
"AT1G57630",0,3.86223634538511,0.588,0.13,0,"AT1G57630","Yes"
"AT5G13080",0,4.5298468959274,0.502,0.049,0,"AT5G13080","Yes"
"AT4G26530",0,-1.99129097158384,0.27,0.722,0,"AT4G26530","Yes"
"AT1G72610",0,-1.8462108737035,0.479,0.929,0,"AT1G72610","Yes"
"AT5G42530",0,3.405931000021,0.962,0.513,0,"AT5G42530","Yes"
"AT4G32340",0,-1.60648224943597,0.471,0.917,0,"AT4G32340","Yes"
"AT3G49120",0,2.99979484704608,0.711,0.27,0,"AT3G49120","Yes"
"AT3G22235",0,4.74319548994214,0.472,0.034,0,"AT3G22235","Yes"
"AT1G20450",0,-1.20155492394393,0.511,0.948,0,"AT1G20450","Yes"
"AT1G69930",0,3.79375247583008,0.551,0.117,0,"AT1G69930","Yes"
"AT4G37990",0,3.69570717963286,0.803,0.369,0,"AT4G37990","Yes"
"AT2G14560",0,6.84797664836023,0.441,0.009,0,"AT2G14560","Yes"
"AT2G06850",0,-1.87687046630952,0.234,0.664,0,"AT2G06850","Yes"
"AT2G15970",0,-1.73209884889947,0.277,0.707,0,"AT2G15970","Yes"
"AT4G11890",0,3.75095312495929,0.526,0.098,0,"AT4G11890","Yes"
"AT1G20010",0,-1.4724989908412,0.281,0.706,0,"AT1G20010","Yes"
"AT3G55970",0,2.81408047468305,0.72,0.303,0,"AT3G55970","Yes"
"AT3G10720",0,-1.93996089914785,0.226,0.64,0,"AT3G10720","Yes"
"AT1G55330",0,-1.66938495131347,0.339,0.751,0,"AT1G55330","Yes"
